# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'LLC-load-misses'
# Event count (approx.): 3966776885
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                                
# ........  ...............  ...................  ......................................................................................................................................................................................................
#
     0.01%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C2 CompilerThre  ld-2.28.so           [.] __tls_get_addr
     0.01%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C2 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  java             libjvm.so            [.] acl_CopyRight
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::build_intervals
     0.01%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C1 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_local
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::is_uncommon
     0.01%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#5      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C2 CompilerThre  libjvm.so            [.] RegMask::is_UP
     0.01%  C2 CompilerThre  libjvm.so            [.] IndexSet::lrg_union
     0.01%  C2 CompilerThre  libjvm.so            [.] MachNode::rematerialize
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::insert_copies
     0.01%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C2 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.01%  GC Thread#5      [kernel.kallsyms]    [k] copy_page
     0.01%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::Dominators
     0.01%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  C2 CompilerThre  libjvm.so            [.] Compile::remove_useless_nodes
     0.01%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C1 CompilerThre  libjvm.so            [.] BitMap::set_union
     0.01%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  GC Thread#10     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.01%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  java             perf-10123.map       [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.01%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  java             perf-10123.map       [.] int application.bst.TreeNode.search(int)
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_collect_mappings
     0.01%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C2 CompilerThre  libjvm.so            [.] RegMask::Size
     0.01%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.01%  C1 CompilerThre  libjvm.so            [.] BitMap::set_difference
     0.01%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::fixup_spills
     0.00%  java             perf-10123.map       [.] boolean java.lang.StringCoding.hasNegatives(byte[], int, int)
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::compute_local_live_sets
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::bias_color
     0.00%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_pinned_nodes
     0.00%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.00%  GC Thread#10     [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::raise_pressure
     0.00%  C2 CompilerThre  libjvm.so            [.] PhasePeephole::do_transform
     0.00%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  DPU_POLL_0000    [kernel.kallsyms]    [k] apic_timer_interrupt
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::implementation
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::fill_buffer
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.00%  GC Thread#5      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] OopFlow::compute_reach
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::assign_reg_num
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_exception_handlers
     0.00%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::bottom_type
     0.00%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] CProjNode::is_block_proj
     0.00%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#18     [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::elide_copy
     0.00%  C2 CompilerThre  libjvm.so            [.] Node_Array::insert
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::sort_intervals_before_allocation
     0.00%  C1 CompilerThre  libjvm.so            [.] Invoke::input_values_do
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::remove_dead_region
     0.00%  C1 CompilerThre  libjvm.so            [.] Interval::split_child_at_op_id
     0.00%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::skip_copies
     0.00%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] Node_Backward_Iterator::next
     0.00%  C1 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
     0.00%  java             perf-10123.map       [.] int java.lang.Integer.parseInt(java.lang.String, int)
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::subsume_node
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::transform_old
     0.00%  GC Thread#5      libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.00%  C2 CompilerThre  libjvm.so            [.] NodeHash::hash_find_insert
     0.00%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  VM Periodic Tas  [kernel.kallsyms]    [k] copy_page
     0.00%  C1 CompilerThre  libjvm.so            [.] ProfileCall::input_values_do
     0.00%  GC Thread#6      [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::jvms
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::de_ssa
     0.00%  C2 CompilerThre  [kernel.kallsyms]    [k] get_page_from_freelist
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_tree
     0.00%  C2 CompilerThre  libjvm.so            [.] Matcher::xform
     0.00%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::init
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::ideal_reg
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::clone
     0.00%  C2 CompilerThre  ld-2.28.so           [.] update_get_addr
     0.00%  C1 CompilerThre  libjvm.so            [.] SubstitutionResolver::block_do
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::add_req
     0.00%  C2 CompilerThre  libjvm.so            [.] RegMask::is_vector
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::coalesce
     0.00%  C1 CompilerThre  libjvm.so            [.] CodeEmitInfo::record_debug_info
     0.00%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::compute_global_live_sets
     0.00%  G1 Refine#0      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  C1 CompilerThre  libjvm.so            [.] BlockBegin::iterate_preorder
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::remove_node_if_not_used
     0.00%  C2 CompilerThre  libjvm.so            [.] __tls_get_addr@plt
     0.00%  C2 CompilerThre  libjvm.so            [.] Type::cmp
     0.00%  C2 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::oper_input_base
     0.00%  C2 CompilerThre  libjvm.so            [.] MachCallJavaNode::in_RegMask
     0.00%  C2 CompilerThre  libjvm.so            [.] MachNode::in_RegMask
     0.00%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.00%  GC Thread#2      [kernel.kallsyms]    [k] copy_page
     0.00%  GC Thread#18     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.00%  java             libjvm.so            [.] InstanceKlass::find_method_index
     0.00%  C2 CompilerThre  libjvm.so            [.] Block::is_Empty
     0.00%  GC Thread#21     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] RegMask::is_bound
     0.00%  C2 CompilerThre  [kernel.kallsyms]    [k] copy_page
     0.00%  GC Thread#8      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_virtual
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::scratch_emit_size
     0.00%  GC Thread#3      [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::out_grow
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_data_flow
     0.00%  G1 Refine#1      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C1 CompilerThre  libjvm.so            [.] PhiSimplifier::block_do
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCCP::analyze
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::build_cfg
     0.00%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#13     [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::compact
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::shorten_branches
     0.00%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_unlock_usercnt
     0.00%  C2 CompilerThre  libjvm.so            [.] IntelJccErratum::tag_affected_machnodes
     0.00%  C2 CompilerThre  libjvm.so            [.] JVMState::interpreter_frame_size
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCCP::transform
     0.00%  GC Thread#20     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] RegMask::is_misaligned_pair
     0.00%  C1 CompilerThre  libjvm.so            [.] NullCheckEliminator::visit
     0.00%  C2 CompilerThre  libjvm.so            [.] Node_Array::remove
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::number_instructions
     0.00%  C2 CompilerThre  libjvm.so            [.] ChunkPool::allocate
     0.00%  C2 CompilerThre  libjvm.so            [.] Dict::Insert
     0.00%  C2 CompilerThre  libjvm.so            [.] MachNode::ideal_reg
     0.00%  G1 Refine#2      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  java             libc-2.28.so         [.] __strcmp_avx2
     0.00%  C1 CompilerThre  libjvm.so            [.] DebugInformationRecorder::create_scope_values
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::rematerialize
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_early
     0.00%  C2 CompilerThre  libjvm.so            [.] MachNode::oper_input_base
     0.00%  C1 CompilerThre  libjvm.so            [.] LIRGenerator::state_for
     0.00%  C2 CompilerThre  libjvm.so            [.] IndexSet::free_block
     0.00%  java             perf-10123.map       [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::emit_lir_list
     0.00%  C2 CompilerThre  libjvm.so            [.] MachProjNode::bottom_type
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::compute_initial_block_pressure
     0.00%  C1 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.00%  C1 CompilerThre  libjvm.so            [.] non-virtual thunk to SubstitutionResolver::visit(Instruction**)
     0.00%  C1 CompilerThre  libjvm.so            [.] IntervalWalker::append_to_unhandled
     0.00%  C2 CompilerThre  libjvm.so            [.] RegionNode::is_unreachable_from_root
     0.00%  C1 CompilerThre  libjvm.so            [.] Location::write_on
     0.00%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C2 CompilerThre  libjvm.so            [.] Compile::remove_speculative_types
     0.00%  GC Thread#19     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C1 CompilerThre  libjvm.so            [.] GlobalValueNumbering::GlobalValueNumbering
     0.00%  G1 Refine#3      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::mark_ssa
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::sort_intervals_after_allocation
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.00%  C2 CompilerThre  libjvm.so            [.] GrowableArrayWithAllocator<unsigned int, GrowableArray<unsigned int> >::grow
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::coalesce
     0.00%  DPU_POLL_0000    [kernel.kallsyms]    [k] task_numa_work
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::is_CFG
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::Compute_Effective_Degree
     0.00%  C2 CompilerThre  libjvm.so            [.] MachNode::bottom_type
     0.00%  C2 CompilerThre  libjvm.so            [.] NodeHash::grow
     0.00%  G1 Refine#4      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  GC Thread#11     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] rRegIOper::type
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::remove_empty_blocks
     0.00%  C2 CompilerThre  libjvm.so            [.] Unique_Node_List::remove_useless_nodes
     0.00%  C2 CompilerThre  libjvm.so            [.] loadConINode::bottom_type
     0.00%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  C1 CompilerThre  libjvm.so            [.] ValueStack::total_locks_size
     0.00%  java             [kernel.kallsyms]    [k] page_fault
     0.00%  C1 CompilerThre  libjvm.so            [.] LocationValue::write_on
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::copy_copy
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScanWalker::activate_current
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::set_req_X
     0.00%  GC Thread#7      [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late_post_work
     0.00%  C2 CompilerThre  libjvm.so            [.] Compile::final_graph_reshaping_walk
     0.00%  GC Thread#18     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  GC Thread#12     [kernel.kallsyms]    [k] copy_page
     0.00%  DPU_POLL_0000    [kernel.kallsyms]    [k] __ptep_modify_prot_start
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::disconnect_inputs
     0.00%  java             perf-10123.map       [.] boolean java.lang.String.equals(java.lang.Object)
     0.00%  C1 CompilerThre  libjvm.so            [.] vmSymbols::find_sid
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::optimize
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::test_edge_sq
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::emit_op1
     0.00%  G1 Refine#6      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] Matcher::ReduceInst_Interior
     0.00%  C1 CompilerThre  libjvm.so            [.] Instruction::as_Phi
     0.00%  G1 Refine#5      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  GC Thread#4      [kernel.kallsyms]    [k] copy_page
     0.00%  GC Thread#19     [kernel.kallsyms]    [k] copy_page
     0.00%  C1 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.00%  GC Thread#15     [kernel.kallsyms]    [k] copy_page
     0.00%  GC Thread#8      [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::remove_speculative_types
     0.00%  GC Thread#12     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::adjust_register_pressure
     0.00%  GC Thread#17     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::move_op
     0.00%  C1 CompilerThre  libjvm.so            [.] IntervalWalker::walk_to
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::pinned
     0.00%  G1 Refine#8      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::FillExceptionTables
     0.00%  C2 CompilerThre  libjvm.so            [.] NTarjan::DFS
     0.00%  GC Thread#14     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] MachSafePointNode::jvms
     0.00%  C2 CompilerThre  libjvm.so            [.] Matcher::match_sfpt
     0.00%  GC Thread#17     [kernel.kallsyms]    [k] copy_page
     0.00%  GC Thread#20     [kernel.kallsyms]    [k] copy_page
     0.00%  GC Thread#16     [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] LiveRangeMap::compress_uf_map_for_nodes
     0.00%  G1 Refine#7      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C1 CompilerThre  ld-2.28.so           [.] update_get_addr
     0.00%  GC Thread#9      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C1 CompilerThre  [kernel.kallsyms]    [k] get_page_from_freelist
     0.00%  GC Thread#0      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_node_into_block
     0.00%  C1 CompilerThre  libjvm.so            [.] ControlFlowOptimizer::delete_empty_blocks
     0.00%  C2 CompilerThre  libjvm.so            [.] resource_allocate_bytes
     0.00%  C2 CompilerThre  [kernel.kallsyms]    [k] page_fault
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScanWalker::combine_spilled_intervals
     0.00%  java             libdpu.so.0.0        [.] dpu_get_symbol
